Week,Date,Time,Away Team,Home Team,Away Score,Home Score,Diff
Week 1,Sun 2022/09/11,1:00 PM,49ers,Bears,10,19,9
Week 1,Mon 9/11,1:00 PM,Steelers,Bengals,23,20,-3
Week 1,Mon 09/11,1:00 PM,Eagles,Lions,38,35,-3
Week 1,Mon 9/11,1:00 PM,Patriots,Dolphins,7,20,13
Week 1,Mon 9/11,1:00 PM,Ravens,Jets,24,9,-15
Week 1,Sun 2022/9/11,1:00 PM,Jaguars,Commanders,22,28,6
Week 1,Mon 09/11,1:00 PM,Browns,Panthers,26,24,-2
Week 1,Mon 09/11,1:00 PM,Colts,Texans,20,20,0
Week 1,Mon 9/11,4:25 PM,Giants,Titans,21,20,-1
Week 1,Mon 9/11,4:25 PM,Packers,Vikings,7,23,16
Week 1,Mon 09/11,4:25 PM,Chiefs,Cardinals,44,21,-23
Week 1,Sun 2022/9/11,4:25 PM,Raiders,Chargers,19,24,5
Week 1,Mon 9/11,8:20 PM,Buccaneers,Cowboys,19,3,-16
Week 1,Mon 9/11,1:00 PM,Saints,Falcons,27,26,-1
Week 1,Tue 9/12,8:15 PM,Broncos,Seahawks,16,17,1
Week 2,Thu Sep 15 2022,8:15 PM,Chargers,Chiefs,24,27,3
Week 2,Mon 9/18,1:00 PM,Jets,Browns,31,30,-1
Week 2,Mon 9/18,1:00 PM,Commanders,Lions,27,36,9
Week 2,Mon 9/18,1:00 PM,Buccaneers,Saints,20,10,-10
Week 2,Mon 9/18,1:00 PM,Panthers,Giants,16,19,3
Week 2,Mon 9/18,1:00 PM,Patriots,Steelers,17,14,-3
Week 2,Mon 9/18,1:00 PM,Colts,Jaguars,0,24,24
Week 2,Mon 9/18,1:00 PM,Dolphins,Ravens,42,38,-4
Week 2,Mon 9/18,4:05 PM,Falcons,Rams,27,31,4
Week 2,Sun 2022/9/18,4:05 PM,Seahawks,49ers,7,27,20
Week 2,Sun 2022/9/18,4:25 PM,Bengals,Cowboys,17,20,3
Week 2,Mon 9/18,4:25 PM,Texans,Broncos,9,16,7
Week 2,Mon 9/18,4:25 PM,Cardinals,Raiders,29,23,-6
Week 2,Mon 9/18,8:20 PM,Bears,Packers,10,27,17
Week 2,Mon 2022/9/19,7:15 PM,Titans,Bills,7,41,34
Week 2,Tue 9/19,8:30 PM,Vikings,Eagles,7,24,17
Week 3,Thu 2022/9/22,8:15 PM,Steelers,Browns,17,29,12
Week 3,Sun Sep 25 2022,1:00 PM,Texans,Bears,20,23,3
Week 3,Sun 2022/09/25,1:00 PM,Raiders,Titans,22,24,2
Week 3,Mon 09/25,1:00 PM,Chiefs,Colts,17,20,3
