,Unnamed: 0,Tm,wins,losses,ties,wlp,PF,PA,PD_x,MoV,SoS,SRS,OSRS,DSRS,Rk_x_Off,Yds_tot_Off,Ply_Off,Y/P_Off,TO_Off,FL_Off,1stD_tot_Off,1stD_Pss_Off,1stD_Rsh_Off,Pen_Off,Yds_Pny_Off,1stPy_Off,Sc%_Off,TO%_Off,EXP_Off,Rk_Pss_Off,G_Pss_Off,Cmp_Off,Att_Pss_Off,Cmp%_Off,Yds_Pss_Off,TD_Pss_Off,TD%_Off,Int_Off,Int%_Off,Lng_Pss,Y/A_Pss_Off,AY/A_Off,Y/C_Off,Y/G_Pss_Off,Rate_Off,Sk_Off,Yds.1_Off,Sk%_Off,NY/A_Off,ANY/A_Off,4QC,GWD,EXP_Pss_Off,Rk_Rsh_Off,G_Rsh_Off,Att_Rsh_Off,Yds_Rsh_Off,TD_Rsh_Off,Lng_Rsh,Y/A_Rsh_Off,Y/G_Rsh_Off,Fmb,EXP_Rsh_Off,Rk_y_Off,G_Off,RshTD_Off,RecTD_Off,PR TD_Off,KR TD_Off,FblTD_Off,IntTD_Off,OthTD_Off,AllTD_Off,2PM_Off,2PA_Off,D2P_Off,XPM_Off,XPA_Off,FGM_Off,FGA_Off,Sfty_Off,Pts_Off,Pts/G_Off,Rk_x_Def,Yds_tot_Def,Ply_Def,Y/P_Def,TO_Def,FL_Def,1stD_tot_Def,1stD_Pss_Def,1stD_Rsh_Def,Pen_Def,Yds_Pny_Def,1stPy_Def,Sc%_Def,TO%_Def,EXP_Def,Rk_Pss_Def,G_Pss_Def,Cmp_Def,Att_Pss_Def,Cmp%_Def,Yds_Pss_Def,TD_Pss_Def,TD%_Def,Int_Def,PD_y,Int%_Def,Y/A_Pss_Def,AY/A_Def,Y/C_Def,Y/G_Pss_Def,Rate_Def,Sk_Def,Yds.1_Def,QBHits,TFL,Sk%_Def,NY/A_Def,ANY/A_Def,EXP_Pss_Def,Rk_Rsh_Def,G_Rsh_Def,Att_Rsh_Def,Yds_Rsh_Def,TD_Rsh_Def,Y/A_Rsh_Def,Y/G_Rsh_Def,EXP_Rsh_Def,Rk_y_Def,G_Def,RshTD_Def,RecTD_Def,PR TD_Def,KR TD_Def,FblTD_Def,IntTD_Def,OthTD_Def,AllTD_Def,2PM_Def,2PA_Def,D2P_Def,XPM_Def,XPA_Def,FGM_Def,FGA_Def,Sfty_Def,Pts_Def,Pts/G_Def,team name
0,0,New England Patriots_2016,14,2,0,0.875,441,250,191,11.9,-2.7,9.3,4.3,5.0,3,6180,1056,5.9,11,9,351,203,109,93,819,39,42.9,4.9,113.38,4,16,368,550,66.9,4308,32,5.8,2,0.4,79,8.1,9.1,12.1,269.3,109.5,24,148,4.2,7.5,8.5,2.0,2.0,231.01,7,16,482,1872,19,44,3.9,117.0,27,-116.5,1,16,19,32,,,,,,51,1.0,2,,46,49,27,32,3.0,441,27.6,1,5223,998,5.2,23,10,294,190,81,113,930,23,26.8,11.2,108.15,12,16,368,596,61.7,3806,21,3.5,13,72,2.2,6.8,6.5,11.0,237.9,84.4,34,227,75,54,5.4,6.0,5.8,29.68,4,16,368,1417,6,3.9,88.6,63.01,1,16,6,21,,,,,,27,1.0,3,,23,24,21,29,,250,15.6,New England Patriots
1,1,Dallas Cowboys_2016,13,3,0,0.813,421,306,115,7.2,-0.2,7.0,4.1,2.9,5,6027,1010,6.0,15,9,358,191,142,105,879,25,43.9,8.7,86.3,23,16,325,483,67.3,3631,25,5.2,6,1.2,83,7.9,8.3,11.7,226.9,103.0,28,168,5.5,7.1,7.6,5.0,5.0,103.88,2,16,499,2396,24,60,4.8,149.8,22,-9.95,5,16,24,25,,,,,,49,,2,,46,46,27,32,,421,26.3,5,5503,1009,5.5,20,11,330,226,79,90,784,25,35.1,11.3,-27.42,26,16,425,633,67.1,4167,25,3.9,9,64,1.4,6.9,7.1,10.3,260.4,94.1,36,209,91,78,5.4,6.2,6.4,-84.2,1,16,340,1336,9,3.9,83.5,51.41,5,16,9,25,,,,,,34,,6,,27,28,25,32,,306,19.1,Dallas Cowboys
2,2,Kansas City Chiefs_2016,12,4,0,0.75,389,311,78,4.9,0.7,5.6,1.2,4.4,13,5488,990,5.5,17,9,305,197,86,109,848,22,37.1,9.0,-23.04,19,16,365,546,66.8,3740,19,3.5,8,1.5,80,7.2,7.2,10.7,233.8,93.2,32,174,5.5,6.5,6.5,3.0,3.0,34.94,15,16,412,1748,15,70,4.2,109.3,18,-49.94,7,16,15,19,2.0,1.0,1.0,4.0,,42,2.0,2,1.0,36,39,31,35,1.0,389,24.3,7,5896,1063,5.5,33,15,342,209,102,109,797,31,31.9,16.5,59.03,18,16,350,598,58.5,3958,23,3.8,18,104,3.0,6.9,6.3,11.8,247.4,79.8,28,162,76,67,4.5,6.3,5.8,4.53,26,16,437,1938,10,4.4,121.1,38.86,7,16,10,23,,,,1.0,,34,1.0,4,,30,30,25,30,,311,19.4,Kansas City Chiefs
3,3,Oakland Raiders_2016,12,4,0,0.75,416,385,31,1.9,1.3,3.3,3.5,-0.3,7,5973,1048,5.7,14,7,333,198,98,147,1247,37,38.7,7.2,-24.48,13,16,379,596,63.6,4051,29,4.9,7,1.2,75,6.9,7.4,10.9,253.2,95.3,18,86,2.9,6.6,7.0,7.0,7.0,63.9,6,16,434,1922,17,75,4.4,120.1,17,-70.84,20,16,17,29,,,,1.0,,47,5.0,7,,37,39,29,35,,416,26.0,20,6001,987,6.1,30,14,318,188,94,115,1062,36,35.3,14.2,-28.15,24,16,328,541,60.6,4120,27,5.0,16,73,3.0,7.9,7.6,13.0,257.5,89.8,25,147,80,49,4.4,7.3,7.0,-83.64,23,16,421,1881,18,4.5,117.6,30.15,20,16,18,27,1.0,,,,,46,4.0,7,,35,39,22,26,,385,24.1,Oakland Raiders
4,4,Pittsburgh Steelers_2016,11,5,0,0.688,399,327,72,4.5,0.2,4.7,2.8,2.0,11,5962,1026,5.8,18,3,336,210,97,112,1068,29,38.5,9.9,-22.48,6,16,381,596,63.9,4202,33,5.5,15,2.5,72,7.3,7.3,11.5,262.6,93.9,21,175,3.4,6.8,6.8,3.0,3.0,71.45,14,16,409,1760,13,60,4.3,110.0,15,-74.26,10,16,13,33,,,1.0,,,47,3.0,9,,37,37,24,28,1.0,399,24.9,10,5482,997,5.5,23,10,313,184,95,109,920,34,34.5,11.9,13.12,16,16,381,590,64.6,3882,20,3.4,13,80,2.2,7.0,6.7,10.9,242.6,87.3,38,259,103,87,6.1,6.2,5.9,-48.15,13,16,369,1600,15,4.3,100.0,37.36,10,16,15,20,,,,,1.0,36,2.0,4,,29,32,26,31,,327,20.4,Pittsburgh Steelers
5,5,New York Giants_2016,11,5,0,0.688,310,284,26,1.6,0.5,2.1,-3.2,5.4,26,5291,1018,5.2,27,11,289,190,73,88,857,26,27.5,13.0,-74.19,17,16,377,598,63.0,3879,26,4.3,16,2.7,75,6.7,6.4,10.7,242.4,86.0,22,148,3.5,6.3,5.9,3.0,6.0,0.05,29,16,398,1412,6,25,3.5,88.3,22,-70.14,2,16,6,26,,,2.0,1.0,1.0,36,,1,,31,35,21,22,,310,19.4,2,5435,1062,5.1,25,8,298,191,82,104,853,25,29.9,12.2,98.26,23,16,369,630,58.6,4018,15,2.4,17,101,2.7,6.8,6.0,11.5,251.1,75.8,35,242,85,78,5.3,6.0,5.3,-1.9,3,16,397,1417,10,3.6,88.6,88.6,2,16,10,15,,,,1.0,,26,,1,,24,25,34,40,1.0,284,17.8,New York Giants
6,6,Atlanta Falcons_2016,11,5,0,0.688,540,406,134,8.4,0.1,8.5,10.5,-2.0,1,6653,995,6.7,11,4,379,239,108,104,848,32,52.6,6.3,212.07,3,16,374,537,69.6,4725,38,7.1,7,1.3,76,9.2,10.1,13.3,295.3,116.8,37,235,6.4,8.2,9.0,1.0,2.0,243.07,5,16,421,1928,20,75,4.6,120.5,8,-11.02,27,16,20,38,,,2.0,3.0,,63,2.0,6,,56,57,34,37,,540,33.8,27,5939,1059,5.6,22,10,358,232,95,113,974,31,39.2,11.4,-34.14,28,16,422,655,64.4,4267,31,4.7,12,88,1.8,6.9,7.0,10.7,266.7,92.5,34,228,81,64,4.9,6.2,6.3,-82.03,17,16,370,1672,15,4.5,104.5,26.99,27,16,15,31,,,,2.0,,48,6.0,10,,35,38,23,27,,406,25.4,Atlanta Falcons
7,7,Seattle Seahawks_2016,10,5,1,0.656,354,292,62,3.9,-1.7,2.1,-2.4,4.5,18,5715,1012,5.6,18,6,313,203,85,117,970,25,37.3,9.7,-11.48,10,16,368,567,64.9,4124,23,4.1,12,2.1,59,7.8,7.7,12.0,257.8,93.4,42,298,6.9,6.8,6.6,4.0,3.0,61.78,25,16,403,1591,13,75,3.9,99.4,22,-59.8,3,16,13,23,,,1.0,,,37,1.0,2,,29,35,33,37,1.0,354,22.1,3,5099,1020,5.0,19,8,307,180,94,103,925,33,28.3,10.3,69.7,8,16,331,537,61.6,3612,16,3.0,11,70,2.0,7.2,6.9,11.7,225.8,85.0,42,272,104,77,7.3,6.2,5.9,-47.24,7,16,441,1487,16,3.4,92.9,101.38,3,16,16,16,,,,,,32,3.0,4,,29,29,19,27,1.0,292,18.3,Seattle Seahawks
8,8,Miami Dolphins_2016,10,6,0,0.625,363,380,-17,-1.1,-1.3,-2.4,-0.6,-1.8,17,5324,913,5.8,23,8,278,167,90,125,1142,21,30.7,11.1,-48.39,26,16,316,477,66.2,3500,27,5.7,15,3.1,74,7.8,7.5,11.8,218.8,95.5,30,216,5.9,6.9,6.6,4.0,5.0,17.75,9,16,406,1824,14,62,4.5,114.0,26,-53.07,18,16,14,27,1.0,1.0,,1.0,1.0,45,1.0,2,1.0,41,42,16,21,,363,22.7,18,6122,1088,5.6,25,9,349,199,109,109,919,41,35.1,12.9,-16.46,15,16,368,591,62.3,3875,30,5.1,16,75,2.7,6.9,6.7,11.1,242.2,88.5,33,226,96,73,5.3,6.2,6.0,-39.65,30,16,464,2247,12,4.8,140.4,16.07,18,16,12,30,,,,1.0,,43,5.0,5,,34,38,26,35,,380,23.8,Miami Dolphins
9,9,Green Bay Packers_2016,10,6,0,0.625,432,388,44,2.8,0.1,2.8,4.9,-2.0,4,5900,1029,5.7,17,9,349,222,91,100,827,36,43.8,9.1,115.16,7,16,403,620,65.0,4199,40,6.5,8,1.3,60,7.2,7.9,11.0,262.4,102.3,35,246,5.3,6.4,7.1,0.0,2.0,179.05,20,16,374,1701,11,61,4.5,106.3,21,-50.04,21,16,11,40,,,,,,51,2.0,4,,44,47,26,30,,432,27.0,21,5823,987,5.9,25,8,329,227,80,109,964,22,41.0,13.9,-29.27,31,16,370,571,64.8,4308,32,5.6,17,88,3.0,8.1,7.8,12.4,269.3,95.9,40,295,88,82,6.5,7.1,6.8,-94.43,8,16,376,1515,11,4.0,94.7,49.72,21,16,11,32,,1.0,1.0,,,45,,5,,37,40,27,29,,388,24.3,Green Bay Packers
10,10,Houston Texans_2016,9,7,0,0.563,279,328,-49,-3.1,0.4,-2.6,-5.3,2.7,28,5035,1071,4.7,24,8,305,173,102,87,868,30,31.4,11.4,-102.3,29,16,347,583,59.5,3176,15,2.6,16,2.7,53,5.9,5.1,9.9,198.5,73.3,32,242,5.2,5.2,4.5,4.0,4.0,-28.35,8,16,456,1859,8,45,4.1,116.2,20,-68.97,11,16,8,15,1.0,,,1.0,,25,,0,,22,25,35,41,1.0,279,17.4,11,4821,950,5.1,17,6,272,157,87,114,949,28,31.7,9.1,88.96,2,16,319,522,61.1,3226,20,3.8,11,70,2.1,6.6,6.4,10.7,201.6,84.3,31,198,89,68,5.6,5.8,5.7,7.3,12,16,397,1595,13,4.0,99.7,71.11,11,16,13,20,1.0,1.0,1.0,,,36,1.0,1,,35,35,25,29,,328,20.5,Houston Texans
11,11,Tennessee Titans_2016,9,7,0,0.563,381,378,3,0.2,-1.2,-1.0,0.7,-1.7,14,5728,1008,5.7,18,7,322,175,115,110,1012,32,36.4,9.8,-10.0,25,16,307,504,60.9,3541,29,5.8,11,2.2,60,7.4,7.5,12.1,221.3,93.7,28,179,5.3,6.7,6.8,2.0,2.0,42.9,3,16,476,2187,16,75,4.6,136.7,16,-31.4,16,16,16,29,,,1.0,,,46,,5,,39,41,22,24,,381,23.8,16,5720,1031,5.5,18,6,324,227,70,137,1191,27,35.0,9.0,8.52,30,16,388,635,61.1,4307,25,3.9,12,76,1.9,7.2,7.2,11.8,269.2,88.3,40,278,95,68,5.9,6.4,6.3,-75.71,2,16,356,1413,10,4.0,88.3,61.46,16,16,10,25,2.0,,3.0,3.0,,43,1.0,3,,35,40,27,32,1.0,378,23.6,Tennessee Titans
12,12,Denver Broncos_2016,9,7,0,0.563,333,297,36,2.3,1.8,4.0,-2.0,6.1,22,5169,1020,5.1,25,14,290,181,76,119,985,33,30.3,11.6,-94.99,21,16,339,570,59.5,3685,20,3.5,11,1.9,76,6.9,6.7,11.5,230.3,83.9,40,229,6.6,6.0,5.9,3.0,2.0,-9.53,27,16,410,1484,11,64,3.6,92.8,24,-77.5,4,16,11,20,,,1.0,3.0,,35,1.0,2,1.0,32,33,29,34,,333,20.8,4,5057,1076,4.7,27,13,306,169,101,110,990,36,29.4,12.2,144.49,1,16,306,552,55.4,2972,13,2.4,14,84,2.5,5.8,5.1,10.5,185.8,69.7,42,228,113,55,7.1,5.0,4.4,86.04,28,16,482,2085,15,4.3,130.3,43.52,4,16,15,13,,1.0,,1.0,,30,1.0,3,,24,27,29,33,2.0,297,18.6,Denver Broncos
13,13,Detroit Lions_2016,9,7,0,0.563,346,358,-12,-0.8,-0.6,-1.4,-1.3,-0.1,20,5421,981,5.5,15,5,329,217,76,100,861,36,41.0,9.0,30.86,11,16,388,594,65.3,4111,24,4.0,10,1.7,73,7.3,7.3,11.2,256.9,93.3,37,216,5.9,6.5,6.6,8.0,8.0,76.12,30,16,350,1310,9,42,3.7,81.9,9,-36.94,13,16,9,24,2.0,,,1.0,,36,1.0,2,,31,33,31,36,2.0,346,21.6,13,5676,964,5.9,14,4,333,206,99,122,979,28,39.4,8.8,-88.0,19,16,399,549,72.7,3975,33,6.0,10,63,1.8,7.5,7.9,10.4,248.4,106.5,26,161,70,62,4.5,6.9,7.3,-153.39,18,16,389,1701,8,4.4,106.3,45.4,13,16,8,33,,,,1.0,,42,2.0,3,,36,39,22,26,,358,22.4,Detroit Lions
14,14,Tampa Bay Buccaneers_2016,9,7,0,0.563,354,369,-15,-0.9,0.7,-0.2,-1.5,1.3,19,5542,1066,5.2,27,9,340,220,80,109,926,40,32.4,14.8,-33.29,16,16,355,578,61.4,3926,29,5.0,18,3.1,45,7.2,6.8,11.7,245.4,87.0,35,239,5.7,6.4,6.0,1.0,3.0,78.88,24,16,453,1616,8,45,3.6,101.0,19,-85.54,15,16,8,29,,,,4.0,,41,4.0,7,,32,34,22,31,1.0,354,22.1,15,5887,1013,5.8,29,12,326,203,102,121,1061,21,35.9,14.7,39.69,22,16,347,548,63.3,4012,24,4.4,17,87,3.1,7.7,7.2,12.2,250.8,88.8,38,234,83,76,6.5,6.8,6.4,-9.36,22,16,427,1875,15,4.4,117.2,37.3,15,16,15,24,,,1.0,1.0,,41,2.0,5,,34,35,27,36,2.0,369,23.1,Tampa Bay Buccaneers
15,15,Washington Redskins_2016,8,7,1,0.531,396,383,13,0.8,1.2,2.0,3.3,-1.3,12,6454,1009,6.4,21,9,345,226,89,110,909,30,43.4,11.4,105.24,2,16,407,607,67.1,4758,25,4.1,12,2.0,80,8.2,8.1,12.2,297.4,97.4,23,190,3.7,7.6,7.5,4.0,4.0,147.0,21,16,379,1696,17,66,4.5,106.0,19,-23.4,19,16,17,25,1.0,,,,,43,,4,,36,39,34,42,,396,24.8,19,6046,1050,5.8,21,8,368,225,109,100,1023,34,38.5,11.8,-32.66,25,16,387,589,65.7,4130,22,3.7,13,75,2.2,7.4,7.2,11.3,258.1,91.1,38,253,111,86,6.1,6.6,6.4,-82.22,24,16,423,1916,19,4.5,119.8,45.82,19,16,19,22,,1.0,1.0,2.0,,45,,2,,41,43,24,30,,383,23.9,Washington Redskins
16,16,Baltimore Ravens_2016,8,8,0,0.5,343,321,22,1.4,0.2,1.5,-1.1,2.6,21,5563,1079,5.2,23,7,316,205,79,125,1111,32,35.6,10.5,-86.39,12,16,439,679,64.7,4100,20,2.9,16,2.4,95,6.4,5.9,9.9,256.3,82.6,33,243,4.6,5.8,5.3,2.0,2.0,-50.35,28,16,367,1463,10,41,4.0,91.4,19,-18.06,9,16,10,20,,,1.0,,1.0,32,4.0,5,1.0,27,27,38,39,,343,21.4,9,5154,993,5.2,28,10,294,190,74,94,900,30,28.1,14.1,50.21,9,16,369,578,63.8,3724,28,4.8,18,71,3.1,6.8,6.4,10.7,232.8,86.9,31,223,80,72,5.1,6.1,5.7,-49.17,5,16,384,1430,10,3.7,89.4,90.41,9,16,10,28,1.0,,,,,39,1.0,3,,33,36,16,22,2.0,321,20.1,Baltimore Ravens
17,17,Indianapolis Colts_2016,8,8,0,0.5,411,392,19,1.2,-0.8,0.4,3.1,-2.7,8,5830,1037,5.6,22,7,351,220,93,103,883,38,40.6,12.2,68.23,5,16,370,584,63.4,4202,32,5.5,15,2.6,64,7.7,7.6,12.1,262.6,94.5,44,289,7.0,6.7,6.6,4.0,4.0,102.28,23,16,409,1628,13,33,4.0,101.8,16,-17.5,22,16,13,32,,1.0,1.0,,,47,2.0,3,,44,44,27,31,,411,25.7,22,6126,1024,6.0,17,9,353,225,93,125,1155,35,41.5,9.7,-46.92,27,16,378,582,64.9,4200,27,4.6,8,60,1.4,7.6,7.9,11.7,262.5,97.5,33,211,82,50,5.4,6.8,7.1,-91.69,25,16,409,1926,12,4.7,120.4,25.48,22,16,12,27,,,2.0,1.0,,42,1.0,3,,34,39,34,40,1.0,392,24.5,Indianapolis Colts
18,18,Minnesota Vikings_2016,8,8,0,0.5,327,307,20,1.3,-0.3,0.9,-2.6,3.6,23,5041,1006,5.0,16,11,303,209,66,103,882,28,32.8,7.5,-60.91,18,16,414,588,70.4,3836,20,3.4,5,0.9,71,7.0,7.3,9.9,239.8,97.7,38,283,6.1,6.1,6.4,1.0,1.0,49.94,32,16,380,1205,9,36,3.2,75.3,20,-95.97,6,16,9,20,2.0,1.0,2.0,2.0,,36,1.0,3,,26,33,27,31,1.0,327,20.4,6,5038,993,5.1,27,13,304,186,87,99,825,31,33.3,14.1,97.72,3,16,332,548,60.6,3327,22,4.0,14,59,2.6,6.6,6.3,11.0,207.9,83.0,41,310,114,63,7.0,5.6,5.3,19.38,20,16,404,1711,9,4.2,106.9,68.51,6,16,9,22,,1.0,,,,32,1.0,2,,29,29,28,32,,307,19.2,Minnesota Vikings
19,19,Arizona Cardinals_2016,7,8,1,0.469,418,362,56,3.5,-1.9,1.6,2.4,-0.8,6,5868,1086,5.4,28,11,368,229,97,104,889,42,35.0,14.2,-25.79,9,16,383,646,59.3,4136,28,4.3,17,2.6,80,6.8,6.5,11.6,258.5,83.5,41,289,6.0,6.0,5.7,1.0,3.0,21.2,18,16,399,1732,20,58,4.3,108.3,27,-30.9,14,16,20,28,,,1.0,2.0,,51,1.0,4,,43,47,21,28,2.0,418,26.1,14,4883,1019,4.8,28,14,293,175,90,123,1010,28,32.5,12.9,81.68,4,16,344,547,62.9,3365,21,3.8,14,68,2.6,6.8,6.5,10.9,210.3,85.1,48,374,103,105,8.1,5.7,5.3,8.58,9,16,424,1518,16,3.6,94.9,65.16,14,16,16,21,,1.0,2.0,1.0,,41,1.0,1,,37,40,25,28,,362,22.6,Arizona Cardinals
20,20,Buffalo Bills_2016,7,9,0,0.438,399,378,21,1.3,-1.6,-0.3,1.8,-2.2,10,5666,1012,5.6,12,5,328,155,146,112,960,27,36.7,6.8,60.85,30,16,286,474,60.3,3036,17,3.6,7,1.5,84,6.9,6.9,11.4,189.8,86.7,46,214,8.8,5.8,5.9,1.0,1.0,36.85,1,16,492,2630,29,75,5.3,164.4,15,35.39,17,16,29,17,,,2.0,1.0,,49,4.0,4,,40,45,19,25,,399,24.9,17,5712,1019,5.6,18,6,338,183,122,106,884,33,38.8,9.3,46.56,6,16,306,511,59.9,3582,19,3.7,12,74,2.3,7.5,7.2,12.5,223.9,85.9,39,253,79,70,7.1,6.5,6.2,-17.7,29,16,469,2130,21,4.5,133.1,52.25,17,16,21,19,,,,,1.0,41,2.0,3,,36,38,30,32,1.0,378,23.6,Buffalo Bills
