Week,Time,Away,Home,Away_Score,Home_Score,Diff,Tm_away,wins_away,losses_away,ties_away,wlp_away,PF_away,PA_away,PD_x_away,MoV_away,SoS_away,SRS_away,OSRS_away,DSRS_away,Rk_x_Off_away,Yds_tot_Off_away,Ply_Off_away,Y/P_Off_away,TO_Off_away,FL_Off_away,1stD_tot_Off_away,1stD_Pss_Off_away,1stD_Rsh_Off_away,Pen_Off_away,Yds_Pny_Off_away,1stPy_Off_away,Sc%_Off_away,TO%_Off_away,EXP_Off_away,Rk_Pss_Off_away,G_Pss_Off_away,Cmp_Off_away,Att_Pss_Off_away,Cmp%_Off_away,Yds_Pss_Off_away,TD_Pss_Off_away,TD%_Off_away,Int_Off_away,Int%_Off_away,Lng_Pss_away,Y/A_Pss_Off_away,AY/A_Off_away,Y/C_Off_away,Y/G_Pss_Off_away,Rate_Off_away,Sk_Off_away,Yds.1_Off_away,Sk%_Off_away,NY/A_Off_away,ANY/A_Off_away,4QC_away,GWD_away,EXP_Pss_Off_away,Rk_Rsh_Off_away,G_Rsh_Off_away,Att_Rsh_Off_away,Yds_Rsh_Off_away,TD_Rsh_Off_away,Lng_Rsh_away,Y/A_Rsh_Off_away,Y/G_Rsh_Off_away,Fmb_away,EXP_Rsh_Off_away,Rk_y_Off_away,G_Off_away,RshTD_Off_away,RecTD_Off_away,PR TD_Off_away,KR TD_Off_away,FblTD_Off_away,IntTD_Off_away,OthTD_Off_away,AllTD_Off_away,2PM_Off_away,2PA_Off_away,D2P_Off_away,XPM_Off_away,XPA_Off_away,FGM_Off_away,FGA_Off_away,Sfty_Off_away,Pts_Off_away,Pts/G_Off_away,Rk_x_Def_away,Yds_tot_Def_away,Ply_Def_away,Y/P_Def_away,TO_Def_away,FL_Def_away,1stD_tot_Def_away,1stD_Pss_Def_away,1stD_Rsh_Def_away,Pen_Def_away,Yds_Pny_Def_away,1stPy_Def_away,Sc%_Def_away,TO%_Def_away,EXP_Def_away,Rk_Pss_Def_away,G_Pss_Def_away,Cmp_Def_away,Att_Pss_Def_away,Cmp%_Def_away,Yds_Pss_Def_away,TD_Pss_Def_away,TD%_Def_away,Int_Def_away,PD_y_away,Int%_Def_away,Y/A_Pss_Def_away,AY/A_Def_away,Y/C_Def_away,Y/G_Pss_Def_away,Rate_Def_away,Sk_Def_away,Yds.1_Def_away,QBHits_away,TFL_away,Sk%_Def_away,NY/A_Def_away,ANY/A_Def_away,EXP_Pss_Def_away,Rk_Rsh_Def_away,G_Rsh_Def_away,Att_Rsh_Def_away,Yds_Rsh_Def_away,TD_Rsh_Def_away,Y/A_Rsh_Def_away,Y/G_Rsh_Def_away,EXP_Rsh_Def_away,Rk_y_Def_away,G_Def_away,RshTD_Def_away,RecTD_Def_away,PR TD_Def_away,KR TD_Def_away,FblTD_Def_away,IntTD_Def_away,OthTD_Def_away,AllTD_Def_away,2PM_Def_away,2PA_Def_away,XPM_Def_away,XPA_Def_away,FGM_Def_away,FGA_Def_away,Sfty_Def_away,Pts_Def_away,Pts/G_Def_away,Tm_home,wins_home,losses_home,ties_home,wlp_home,PF_home,PA_home,PD_x_home,MoV_home,SoS_home,SRS_home,OSRS_home,DSRS_home,Rk_x_Off_home,Yds_tot_Off_home,Ply_Off_home,Y/P_Off_home,TO_Off_home,FL_Off_home,1stD_tot_Off_home,1stD_Pss_Off_home,1stD_Rsh_Off_home,Pen_Off_home,Yds_Pny_Off_home,1stPy_Off_home,Sc%_Off_home,TO%_Off_home,EXP_Off_home,Rk_Pss_Off_home,G_Pss_Off_home,Cmp_Off_home,Att_Pss_Off_home,Cmp%_Off_home,Yds_Pss_Off_home,TD_Pss_Off_home,TD%_Off_home,Int_Off_home,Int%_Off_home,Lng_Pss_home,Y/A_Pss_Off_home,AY/A_Off_home,Y/C_Off_home,Y/G_Pss_Off_home,Rate_Off_home,Sk_Off_home,Yds.1_Off_home,Sk%_Off_home,NY/A_Off_home,ANY/A_Off_home,4QC_home,GWD_home,EXP_Pss_Off_home,Rk_Rsh_Off_home,G_Rsh_Off_home,Att_Rsh_Off_home,Yds_Rsh_Off_home,TD_Rsh_Off_home,Lng_Rsh_home,Y/A_Rsh_Off_home,Y/G_Rsh_Off_home,Fmb_home,EXP_Rsh_Off_home,Rk_y_Off_home,G_Off_home,RshTD_Off_home,RecTD_Off_home,PR TD_Off_home,KR TD_Off_home,FblTD_Off_home,IntTD_Off_home,OthTD_Off_home,AllTD_Off_home,2PM_Off_home,2PA_Off_home,D2P_Off_home,XPM_Off_home,XPA_Off_home,FGM_Off_home,FGA_Off_home,Sfty_Off_home,Pts_Off_home,Pts/G_Off_home,Rk_x_Def_home,Yds_tot_Def_home,Ply_Def_home,Y/P_Def_home,TO_Def_home,FL_Def_home,1stD_tot_Def_home,1stD_Pss_Def_home,1stD_Rsh_Def_home,Pen_Def_home,Yds_Pny_Def_home,1stPy_Def_home,Sc%_Def_home,TO%_Def_home,EXP_Def_home,Rk_Pss_Def_home,G_Pss_Def_home,Cmp_Def_home,Att_Pss_Def_home,Cmp%_Def_home,Yds_Pss_Def_home,TD_Pss_Def_home,TD%_Def_home,Int_Def_home,PD_y_home,Int%_Def_home,Y/A_Pss_Def_home,AY/A_Def_home,Y/C_Def_home,Y/G_Pss_Def_home,Rate_Def_home,Sk_Def_home,Yds.1_Def_home,QBHits_home,TFL_home,Sk%_Def_home,NY/A_Def_home,ANY/A_Def_home,EXP_Pss_Def_home,Rk_Rsh_Def_home,G_Rsh_Def_home,Att_Rsh_Def_home,Yds_Rsh_Def_home,TD_Rsh_Def_home,Y/A_Rsh_Def_home,Y/G_Rsh_Def_home,EXP_Rsh_Def_home,Rk_y_Def_home,G_Def_home,RshTD_Def_home,RecTD_Def_home,PR TD_Def_home,KR TD_Def_home,FblTD_Def_home,IntTD_Def_home,OthTD_Def_home,AllTD_Def_home,2PM_Def_home,2PA_Def_home,XPM_Def_home,XPA_Def_home,FGM_Def_home,FGA_Def_home,Sfty_Def_home,Pts_Def_home,Pts/G_Def_home
15,8:25 PM,Los Angeles Rams_2016,Seattle Seahawks_2016,3,24,21,Los Angeles Rams_2016,4,12,0,0.25,224,394,-170,-10.6,-0.5,-11.1,-9.5,-1.6,32,4203,960,4.4,29,9,245,151,68,126,1091,26,21.8,14.5,-190.35,31,16,312,536,58.2,2951,14,2.6,20,3.7,66,6.2,5,10.6,184.4,69.5,49,362,8.4,5,4,1,2,-123.49,31,16,375,1252,9,30,3.3,78.3,24,-53.77,23,16,9,14,0,0,1,0,0,24,0,1,0,23,23,19,22,0,224,14,23,5392,1037,5.2,18,8,325,194,91,108,920,40,31.3,9.4,-2.88,10,16,378,582,64.9,3732,32,5.5,10,73,1.7,6.7,7.1,10.4,233.3,95.5,31,196,108,90,5.1,6.1,6.4,-48.92,16,16,424,1660,12,3.9,103.8,24.54,23,16,12,32,0,0,1,5,0,50,1,3,44,47,16,18,0,394,24.6,Seattle Seahawks_2016,10,5,1,0.656,354,292,62,3.9,-1.7,2.1,-2.4,4.5,18,5715,1012,5.6,18,6,313,203,85,117,970,25,37.3,9.7,-11.48,10,16,368,567,64.9,4124,23,4.1,12,2.1,59,7.8,7.7,12,257.8,93.4,42,298,6.9,6.8,6.6,4,3,61.78,25,16,403,1591,13,75,3.9,99.4,22,-59.8,3,16,13,23,0,0,1,0,0,37,1,2,0,29,35,33,37,1,354,22.1,3,5099,1020,5,19,8,307,180,94,103,925,33,28.3,10.3,69.7,8,16,331,537,61.6,3612,16,3,11,70,2,7.2,6.9,11.7,225.8,85,42,272,104,77,7.3,6.2,5.9,-47.24,7,16,441,1487,16,3.4,92.9,101.38,3,16,16,16,0,0,0,0,0,32,3,4,29,29,19,27,1,292,18.3
15,8:25 PM,Miami Dolphins_2016,New York Jets_2016,34,13,-21,Miami Dolphins_2016,10,6,0,0.625,363,380,-17,-1.1,-1.3,-2.4,-0.6,-1.8,17,5324,913,5.8,23,8,278,167,90,125,1142,21,30.7,11.1,-48.39,26,16,316,477,66.2,3500,27,5.7,15,3.1,74,7.8,7.5,11.8,218.8,95.5,30,216,5.9,6.9,6.6,4,5,17.75,9,16,406,1824,14,62,4.5,114,26,-53.07,18,16,14,27,1,1,0,1,1,45,1,2,1,41,42,16,21,0,363,22.7,18,6122,1088,5.6,25,9,349,199,109,109,919,41,35.1,12.9,-16.46,15,16,368,591,62.3,3875,30,5.1,16,75,2.7,6.9,6.7,11.1,242.2,88.5,33,226,96,73,5.3,6.2,6,-39.65,30,16,464,2247,12,4.8,140.4,16.07,18,16,12,30,0,0,0,1,0,43,5,5,34,38,26,35,0,380,23.8,New York Jets_2016,5,11,0,0.313,275,409,-134,-8.4,-0.1,-8.5,-5.5,-3,30,5268,1003,5.3,34,9,291,166,97,93,837,28,29.7,17.8,-79.69,27,16,311,550,56.5,3466,16,2.9,25,4.5,69,6.6,5.2,11.7,216.6,67.6,35,179,6,5.9,4.5,1,1,-61.88,12,16,418,1802,10,35,4.3,112.6,24,-13.71,28,16,10,16,0,0,1,0,1,28,1,1,0,24,26,27,31,0,275,17.2,28,5479,1000,5.5,14,6,318,203,86,74,651,29,37.7,7.1,-55.99,17,16,347,545,63.7,3898,30,5.5,8,54,1.5,7.5,7.9,11.7,243.6,98.5,27,179,81,71,4.7,6.8,7.2,-124.47,11,16,428,1581,11,3.7,98.8,64.26,28,16,11,30,0,1,3,1,1,47,1,2,44,45,27,31,0,409,25.6
15,1:00 PM,Cleveland Browns_2016,Buffalo Bills_2016,13,33,20,Cleveland Browns_2016,1,15,0,0.063,264,452,-188,-11.8,1.7,-10.1,-5.2,-4.9,31,4976,983,5.1,25,11,296,181,83,95,736,32,27.2,13.3,-72.41,28,16,338,567,59.6,3264,15,2.6,14,2.5,58,6.5,5.9,10.9,204,77.4,66,429,10.4,5.2,4.6,0,0,-9.7,19,16,350,1712,13,85,4.9,107,26,-30.05,30,16,13,15,0,0,0,1,0,29,2,4,0,23,25,21,27,0,264,16.5,30,6279,1067,5.9,13,3,364,220,121,104,930,23,40.8,6.1,-128.14,21,16,347,543,63.9,3996,36,6.6,10,67,1.8,7.7,8.2,12,249.8,101.8,26,177,81,52,4.6,7,7.5,-138.11,31,16,498,2283,18,4.6,142.7,6.08,30,16,18,36,0,0,2,0,0,56,2,2,49,52,19,27,2,452,28.3,Buffalo Bills_2016,7,9,0,0.438,399,378,21,1.3,-1.6,-0.3,1.8,-2.2,10,5666,1012,5.6,12,5,328,155,146,112,960,27,36.7,6.8,60.85,30,16,286,474,60.3,3036,17,3.6,7,1.5,84,6.9,6.9,11.4,189.8,86.7,46,214,8.8,5.8,5.9,1,1,36.85,1,16,492,2630,29,75,5.3,164.4,15,35.39,17,16,29,17,0,0,2,1,0,49,4,4,0,40,45,19,25,0,399,24.9,17,5712,1019,5.6,18,6,338,183,122,106,884,33,38.8,9.3,46.56,6,16,306,511,59.9,3582,19,3.7,12,74,2.3,7.5,7.2,12.5,223.9,85.9,39,253,79,70,7.1,6.5,6.2,-17.7,29,16,469,2130,21,4.5,133.1,52.25,17,16,21,19,0,0,0,0,1,41,2,3,36,38,30,32,1,378,23.6
15,1:00 PM,Green Bay Packers_2016,Chicago Bears_2016,30,27,-3,Green Bay Packers_2016,10,6,0,0.625,432,388,44,2.8,0.1,2.8,4.9,-2,4,5900,1029,5.7,17,9,349,222,91,100,827,36,43.8,9.1,115.16,7,16,403,620,65,4199,40,6.5,8,1.3,60,7.2,7.9,11,262.4,102.3,35,246,5.3,6.4,7.1,0,2,179.05,20,16,374,1701,11,61,4.5,106.3,21,-50.04,21,16,11,40,0,0,0,0,0,51,2,4,0,44,47,26,30,0,432,27,21,5823,987,5.9,25,8,329,227,80,109,964,22,41,13.9,-29.27,31,16,370,571,64.8,4308,32,5.6,17,88,3,8.1,7.8,12.4,269.3,95.9,40,295,88,82,6.5,7.1,6.8,-94.43,8,16,376,1515,11,4,94.7,49.72,21,16,11,32,0,1,1,0,0,45,0,5,37,40,27,29,0,388,24.3,Chicago Bears_2016,3,13,0,0.188,279,399,-120,-7.5,0,-7.5,-5.2,-2.3,29,5704,967,5.9,31,12,324,212,93,110,967,19,27.3,17.4,-70.06,14,16,347,559,62.1,3969,19,3.4,19,3.4,64,7.4,6.6,11.9,248.1,81.8,28,170,4.8,6.8,6,0,0,-14.33,17,16,380,1735,10,69,4.6,108.4,26,-46.68,24,16,10,19,1,0,1,1,0,32,0,0,0,31,32,18,23,1,279,17.4,24,5548,1012,5.5,11,3,322,188,99,103,959,35,42,6.3,-68.19,7,16,342,530,64.5,3598,22,4.2,8,70,1.5,7.2,7.4,11.2,224.9,93.5,37,230,75,66,6.5,6.3,6.5,-96.13,27,16,445,1950,18,4.4,121.9,17.2,24,16,18,22,1,0,1,1,0,43,1,1,38,42,33,35,1,399,24.9
15,1:00 PM,Pittsburgh Steelers_2016,Cincinnati Bengals_2016,24,20,-4,Pittsburgh Steelers_2016,11,5,0,0.688,399,327,72,4.5,0.2,4.7,2.8,2,11,5962,1026,5.8,18,3,336,210,97,112,1068,29,38.5,9.9,-22.48,6,16,381,596,63.9,4202,33,5.5,15,2.5,72,7.3,7.3,11.5,262.6,93.9,21,175,3.4,6.8,6.8,3,3,71.45,14,16,409,1760,13,60,4.3,110,15,-74.26,10,16,13,33,0,0,1,0,0,47,3,9,0,37,37,24,28,1,399,24.9,10,5482,997,5.5,23,10,313,184,95,109,920,34,34.5,11.9,13.12,16,16,381,590,64.6,3882,20,3.4,13,80,2.2,7,6.7,10.9,242.6,87.3,38,259,103,87,6.1,6.2,5.9,-48.15,13,16,369,1600,15,4.3,100,37.36,10,16,15,20,0,0,0,0,1,36,2,4,29,32,26,31,0,327,20.4,Cincinnati Bengals_2016,6,9,1,0.406,325,315,10,0.6,0.4,1,-1.5,2.5,24,5711,1050,5.4,17,9,341,204,100,88,726,37,35.8,8.5,30.41,15,16,364,563,64.7,3942,18,3.2,8,1.4,86,7.5,7.5,11.6,246.4,91.8,41,264,6.8,6.5,6.5,2,1,72.64,13,16,446,1769,17,74,4,110.6,20,-38.62,8,16,17,18,0,0,0,0,0,35,0,0,0,29,35,28,35,1,325,20.3,8,5612,1038,5.4,20,3,327,196,95,105,950,36,34.7,11.4,-0.36,11,16,374,593,63.1,3800,22,3.7,17,85,2.9,6.7,6.2,10.7,237.5,83.1,33,185,104,61,5.3,6.1,5.6,-30.96,21,16,412,1812,12,4.4,113.3,21.6,8,16,12,22,0,0,0,0,0,34,0,2,28,32,27,31,1,315,19.7
15,1:00 PM,Indianapolis Colts_2016,Minnesota Vikings_2016,34,6,-28,Indianapolis Colts_2016,8,8,0,0.5,411,392,19,1.2,-0.8,0.4,3.1,-2.7,8,5830,1037,5.6,22,7,351,220,93,103,883,38,40.6,12.2,68.23,5,16,370,584,63.4,4202,32,5.5,15,2.6,64,7.7,7.6,12.1,262.6,94.5,44,289,7,6.7,6.6,4,4,102.28,23,16,409,1628,13,33,4,101.8,16,-17.5,22,16,13,32,0,1,1,0,0,47,2,3,0,44,44,27,31,0,411,25.7,22,6126,1024,6,17,9,353,225,93,125,1155,35,41.5,9.7,-46.92,27,16,378,582,64.9,4200,27,4.6,8,60,1.4,7.6,7.9,11.7,262.5,97.5,33,211,82,50,5.4,6.8,7.1,-91.69,25,16,409,1926,12,4.7,120.4,25.48,22,16,12,27,0,0,2,1,0,42,1,3,34,39,34,40,1,392,24.5,Minnesota Vikings_2016,8,8,0,0.5,327,307,20,1.3,-0.3,0.9,-2.6,3.6,23,5041,1006,5,16,11,303,209,66,103,882,28,32.8,7.5,-60.91,18,16,414,588,70.4,3836,20,3.4,5,0.9,71,7,7.3,9.9,239.8,97.7,38,283,6.1,6.1,6.4,1,1,49.94,32,16,380,1205,9,36,3.2,75.3,20,-95.97,6,16,9,20,2,1,2,2,0,36,1,3,0,26,33,27,31,1,327,20.4,6,5038,993,5.1,27,13,304,186,87,99,825,31,33.3,14.1,97.72,3,16,332,548,60.6,3327,22,4,14,59,2.6,6.6,6.3,11,207.9,83,41,310,114,63,7,5.6,5.3,19.38,20,16,404,1711,9,4.2,106.9,68.51,6,16,9,22,0,1,0,0,0,32,1,2,29,29,28,32,0,307,19.2
15,1:00 PM,Detroit Lions_2016,New York Giants_2016,6,17,11,Detroit Lions_2016,9,7,0,0.563,346,358,-12,-0.8,-0.6,-1.4,-1.3,-0.1,20,5421,981,5.5,15,5,329,217,76,100,861,36,41,9,30.86,11,16,388,594,65.3,4111,24,4,10,1.7,73,7.3,7.3,11.2,256.9,93.3,37,216,5.9,6.5,6.6,8,8,76.12,30,16,350,1310,9,42,3.7,81.9,9,-36.94,13,16,9,24,2,0,0,1,0,36,1,2,0,31,33,31,36,2,346,21.6,13,5676,964,5.9,14,4,333,206,99,122,979,28,39.4,8.8,-88,19,16,399,549,72.7,3975,33,6,10,63,1.8,7.5,7.9,10.4,248.4,106.5,26,161,70,62,4.5,6.9,7.3,-153.39,18,16,389,1701,8,4.4,106.3,45.4,13,16,8,33,0,0,0,1,0,42,2,3,36,39,22,26,0,358,22.4,New York Giants_2016,11,5,0,0.688,310,284,26,1.6,0.5,2.1,-3.2,5.4,26,5291,1018,5.2,27,11,289,190,73,88,857,26,27.5,13,-74.19,17,16,377,598,63,3879,26,4.3,16,2.7,75,6.7,6.4,10.7,242.4,86,22,148,3.5,6.3,5.9,3,6,0.05,29,16,398,1412,6,25,3.5,88.3,22,-70.14,2,16,6,26,0,0,2,1,1,36,0,1,0,31,35,21,22,0,310,19.4,2,5435,1062,5.1,25,8,298,191,82,104,853,25,29.9,12.2,98.26,23,16,369,630,58.6,4018,15,2.4,17,101,2.7,6.8,6,11.5,251.1,75.8,35,242,85,78,5.3,6,5.3,-1.9,3,16,397,1417,10,3.6,88.6,88.6,2,16,10,15,0,0,0,1,0,26,0,1,24,25,34,40,1,284,17.8
15,1:00 PM,Jacksonville Jaguars_2016,Houston Texans_2016,20,21,1,Jacksonville Jaguars_2016,3,13,0,0.188,318,400,-82,-5.1,0.2,-5,-2.7,-2.3,25,5359,1052,5.1,29,13,321,207,75,129,1187,39,31.4,13.6,-67.5,20,16,369,626,58.9,3728,24,3.8,16,2.6,51,6.3,5.9,10.6,233,79.5,34,197,5.2,5.6,5.3,1,1,12.29,22,16,392,1631,8,57,4.2,101.9,23,-64.26,25,16,8,24,0,1,0,1,0,34,2,2,0,29,32,27,34,0,318,19.9,25,5147,1030,5,13,6,305,174,93,101,948,38,39.3,5.8,40.52,5,16,345,551,62.6,3444,20,3.6,7,55,1.3,6.6,6.7,10.5,215.3,88.5,33,183,77,80,5.7,5.9,6,-15.33,19,16,446,1703,17,3.8,106.4,49.93,25,16,17,20,1,0,0,3,0,41,1,1,36,40,38,41,1,400,25,Houston Texans_2016,9,7,0,0.563,279,328,-49,-3.1,0.4,-2.6,-5.3,2.7,28,5035,1071,4.7,24,8,305,173,102,87,868,30,31.4,11.4,-102.3,29,16,347,583,59.5,3176,15,2.6,16,2.7,53,5.9,5.1,9.9,198.5,73.3,32,242,5.2,5.2,4.5,4,4,-28.35,8,16,456,1859,8,45,4.1,116.2,20,-68.97,11,16,8,15,1,0,0,1,0,25,0,0,0,22,25,35,41,1,279,17.4,11,4821,950,5.1,17,6,272,157,87,114,949,28,31.7,9.1,88.96,2,16,319,522,61.1,3226,20,3.8,11,70,2.1,6.6,6.4,10.7,201.6,84.3,31,198,89,68,5.6,5.8,5.7,7.3,12,16,397,1595,13,4,99.7,71.11,11,16,13,20,1,1,1,0,0,36,1,1,35,35,25,29,0,328,20.5
15,1:00 PM,Tennessee Titans_2016,Kansas City Chiefs_2016,19,17,-2,Tennessee Titans_2016,9,7,0,0.563,381,378,3,0.2,-1.2,-1,0.7,-1.7,14,5728,1008,5.7,18,7,322,175,115,110,1012,32,36.4,9.8,-10,25,16,307,504,60.9,3541,29,5.8,11,2.2,60,7.4,7.5,12.1,221.3,93.7,28,179,5.3,6.7,6.8,2,2,42.9,3,16,476,2187,16,75,4.6,136.7,16,-31.4,16,16,16,29,0,0,1,0,0,46,0,5,0,39,41,22,24,0,381,23.8,16,5720,1031,5.5,18,6,324,227,70,137,1191,27,35,9,8.52,30,16,388,635,61.1,4307,25,3.9,12,76,1.9,7.2,7.2,11.8,269.2,88.3,40,278,95,68,5.9,6.4,6.3,-75.71,2,16,356,1413,10,4,88.3,61.46,16,16,10,25,2,0,3,3,0,43,1,3,35,40,27,32,1,378,23.6,Kansas City Chiefs_2016,12,4,0,0.75,389,311,78,4.9,0.7,5.6,1.2,4.4,13,5488,990,5.5,17,9,305,197,86,109,848,22,37.1,9,-23.04,19,16,365,546,66.8,3740,19,3.5,8,1.5,80,7.2,7.2,10.7,233.8,93.2,32,174,5.5,6.5,6.5,3,3,34.94,15,16,412,1748,15,70,4.2,109.3,18,-49.94,7,16,15,19,2,1,1,4,0,42,2,2,1,36,39,31,35,1,389,24.3,7,5896,1063,5.5,33,15,342,209,102,109,797,31,31.9,16.5,59.03,18,16,350,598,58.5,3958,23,3.8,18,104,3,6.9,6.3,11.8,247.4,79.8,28,162,76,67,4.5,6.3,5.8,4.53,26,16,437,1938,10,4.4,121.1,38.86,7,16,10,23,0,0,0,1,0,34,1,4,30,30,25,30,0,311,19.4
15,1:00 PM,Philadelphia Eagles_2016,Baltimore Ravens_2016,26,27,1,Philadelphia Eagles_2016,7,9,0,0.438,367,331,36,2.3,1.6,3.8,1.3,2.5,16,5398,1080,5,20,6,333,192,114,113,945,27,37.6,11.2,-45.33,24,16,380,609,62.4,3585,16,2.6,14,2.3,73,6.2,5.7,10,224.1,79.2,33,213,5.1,5.6,5.1,1,1,15.12,11,16,438,1813,16,30,4.1,113.3,24,-54.66,12,16,16,16,0,2,0,3,0,37,4,6,0,30,31,35,41,1,367,22.9,12,5484,978,5.6,26,10,300,177,89,99,837,34,33.9,13.4,25.9,13,16,333,553,60.2,3832,25,4.5,16,77,2.9,7.3,6.9,12.1,239.5,85.7,34,207,90,75,5.8,6.5,6.2,-15.13,15,16,391,1652,10,4.2,103.3,30.88,12,16,10,25,1,0,0,0,0,36,0,1,31,34,28,33,0,331,20.7,Baltimore Ravens_2016,8,8,0,0.5,343,321,22,1.4,0.2,1.5,-1.1,2.6,21,5563,1079,5.2,23,7,316,205,79,125,1111,32,35.6,10.5,-86.39,12,16,439,679,64.7,4100,20,2.9,16,2.4,95,6.4,5.9,9.9,256.3,82.6,33,243,4.6,5.8,5.3,2,2,-50.35,28,16,367,1463,10,41,4,91.4,19,-18.06,9,16,10,20,0,0,1,0,1,32,4,5,1,27,27,38,39,0,343,21.4,9,5154,993,5.2,28,10,294,190,74,94,900,30,28.1,14.1,50.21,9,16,369,578,63.8,3724,28,4.8,18,71,3.1,6.8,6.4,10.7,232.8,86.9,31,223,80,72,5.1,6.1,5.7,-49.17,5,16,384,1430,10,3.7,89.4,90.41,9,16,10,28,1,0,0,0,0,39,1,3,33,36,16,22,2,321,20.1
