Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Baltimore Ravens,17,26,27,1,,,1,,55,2,2,,51,52,32,37,1,483,28.4
2,Kansas City Chiefs,17,9,28,,,2,,,39,,1,,38,38,33,35,,371,21.8
3,San Francisco 49ers,17,27,33,,,,1,,61,,0,,60,61,21,25,1,491,28.9
4,Buffalo Bills,17,22,29,1,,,2,,54,3,4,,49,50,24,29,,451,26.5
5,Dallas Cowboys,17,14,36,,,1,5,1,57,4,5,,49,52,36,38,1,509,29.9
6,Pittsburgh Steelers,17,16,13,,,1,1,,31,1,3,,27,28,29,31,1,304,17.9
7,Tampa Bay Buccaneers,17,8,28,,,,1,,37,2,4,,33,33,29,31,1,348,20.5
8,New Orleans Saints,17,13,28,1,,1,1,,44,4,4,,40,40,30,37,,402,23.6
9,Las Vegas Raiders,17,11,20,,,2,3,,36,2,4,,32,32,26,30,1,332,19.5
10,Green Bay Packers,17,10,32,,,1,1,,44,2,5,,34,39,27,33,,383,22.5
11,Houston Texans,17,10,27,,2,1,,,40,2,7,,31,33,34,38,,377,22.2
12,New York Jets,17,7,11,1,,1,2,,22,3,4,,16,17,36,39,3,268,15.8
13,Minnesota Vikings,17,7,30,,,2,,,39,1,1,,36,38,24,30,,344,20.2
14,Cleveland Browns,17,15,24,,,1,2,,42,6,9,,30,33,34,37,,396,23.3
15,New England Patriots,17,9,16,,1,1,,,27,,2,,24,25,16,25,1,236,13.9
16,Tennessee Titans,17,16,14,,,,1,,31,1,1,1,28,30,29,30,,305,17.9
17,Jacksonville Jaguars,17,17,22,,,,2,,41,3,6,,35,35,30,37,,377,22.2
18,Atlanta Falcons,17,14,17,,,,1,,32,2,4,,27,28,32,37,1,321,18.9
19,Los Angeles Rams,17,18,26,,,,,,44,4,6,,32,37,32,43,2,404,23.8
20,Chicago Bears,17,16,19,,,,2,,37,1,4,,31,33,35,38,,360,21.2
21,Cincinnati Bengals,17,12,27,1,,,1,,41,1,1,,40,40,26,31,,366,21.5
22,Miami Dolphins,17,27,30,,,,4,,61,,2,,58,59,24,28,,496,29.2
23,Detroit Lions,17,27,30,,,,1,,58,3,6,,48,52,19,21,1,461,27.1
24,Los Angeles Chargers,17,11,24,1,,,,,36,1,1,,35,35,31,33,,346,20.4
25,Seattle Seahawks,17,11,23,,,,3,,37,2,3,,33,33,35,42,,364,21.4
26,New York Giants,17,10,15,1,,,3,,29,1,4,,24,25,22,31,,266,15.6
27,Denver Broncos,17,8,28,,1,1,,,38,4,7,,29,31,30,34,1,357,21.0
28,Indianapolis Colts,17,19,18,,,1,3,1,42,4,5,,35,36,33,41,1,396,23.3
29,Carolina Panthers,17,7,13,1,,,2,,23,3,3,,17,20,25,30,,236,13.9
30,Philadelphia Eagles,17,22,24,,,1,2,,49,1,2,,45,46,30,32,1,433,25.5
31,Arizona Cardinals,17,17,18,,,1,,,36,4,13,,22,23,28,33,,330,19.4
32,Washington Commanders,17,14,24,,,1,,,39,3,4,,32,35,19,24,,329,19.4
,Avg Team,,14.7,23.6,0.3,0.1,0.6,1.4,0.1,40.7,2.2,4.0,0.0,35.0,36.5,28.5,33.1,0.5,370.1,21.8
,League Total,,470,754,8,4,19,45,2,1302,70,127,1,1121,1169,911,1060,17,11842,21.8
,Avg Tm/G,,0.86,1.39,0.01,0.01,0.03,0.08,,2.39,0.13,0.23,0.00,2.06,2.15,1.67,1.95,0.03,21.8,
