,Week,Time,Away,Home
0,1,8:20PM,Baltimore Ravens_2024,Kansas City Chiefs_2024
1,1,8:15PM,Green Bay Packers_2024,Philadelphia Eagles_2024
2,1,1:00PM,Carolina Panthers_2024,New Orleans Saints_2024
3,1,1:00PM,Arizona Cardinals_2024,Buffalo Bills_2024
4,1,1:00PM,Houston Texans_2024,Indianapolis Colts_2024
5,1,1:00PM,Jacksonville Jaguars_2024,Miami Dolphins_2024
6,1,1:00PM,Minnesota Vikings_2024,New York Giants_2024
7,1,1:00PM,New England Patriots_2024,Cincinnati Bengals_2024
8,1,1:00PM,Tennessee Titans_2024,Chicago Bears_2024
9,1,1:00PM,Pittsburgh Steelers_2024,Atlanta Falcons_2024
10,1,4:05PM,Denver Broncos_2024,Seattle Seahawks_2024
11,1,4:05PM,Las Vegas Raiders_2024,Los Angeles Chargers_2024
12,1,4:25PM,Dallas Cowboys_2024,Cleveland Browns_2024
13,1,4:25PM,Washington Commanders_2024,Tampa Bay Buccaneers_2024
14,1,8:20PM,Los Angeles Rams_2024,Detroit Lions_2024
15,1,8:15PM,New York Jets_2024,San Francisco 49ers_2024
16,2,8:15PM,Buffalo Bills_2024,Miami Dolphins_2024
17,2,1:00PM,Cleveland Browns_2024,Jacksonville Jaguars_2024
18,2,1:00PM,Indianapolis Colts_2024,Green Bay Packers_2024
19,2,1:00PM,New Orleans Saints_2024,Dallas Cowboys_2024
20,2,1:00PM,New York Giants_2024,Washington Commanders_2024
21,2,1:00PM,New York Jets_2024,Tennessee Titans_2024
22,2,1:00PM,Las Vegas Raiders_2024,Baltimore Ravens_2024
23,2,1:00PM,Los Angeles Chargers_2024,Carolina Panthers_2024
24,2,1:00PM,Seattle Seahawks_2024,New England Patriots_2024
25,2,1:00PM,San Francisco 49ers_2024,Minnesota Vikings_2024
26,2,1:00PM,Tampa Bay Buccaneers_2024,Detroit Lions_2024
27,2,4:05PM,Los Angeles Rams_2024,Arizona Cardinals_2024
28,2,4:25PM,Cincinnati Bengals_2024,Kansas City Chiefs_2024
29,2,4:25PM,Pittsburgh Steelers_2024,Denver Broncos_2024
30,2,8:20PM,Chicago Bears_2024,Houston Texans_2024
31,2,8:15PM,Atlanta Falcons_2024,Philadelphia Eagles_2024
32,3,8:15PM,New England Patriots_2024,New York Jets_2024
33,3,1:00PM,Chicago Bears_2024,Indianapolis Colts_2024
34,3,1:00PM,Denver Broncos_2024,Tampa Bay Buccaneers_2024
35,3,1:00PM,Green Bay Packers_2024,Tennessee Titans_2024
36,3,1:00PM,Houston Texans_2024,Minnesota Vikings_2024
37,3,1:00PM,New York Giants_2024,Cleveland Browns_2024
38,3,1:00PM,Philadelphia Eagles_2024,New Orleans Saints_2024
39,3,1:00PM,Los Angeles Chargers_2024,Pittsburgh Steelers_2024
40,3,4:05PM,Carolina Panthers_2024,Las Vegas Raiders_2024
41,3,4:05PM,Miami Dolphins_2024,Seattle Seahawks_2024
42,3,4:25PM,Detroit Lions_2024,Arizona Cardinals_2024
43,3,4:25PM,Baltimore Ravens_2024,Dallas Cowboys_2024
44,3,4:25PM,San Francisco 49ers_2024,Los Angeles Rams_2024
