Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Los Angeles Chargers,17,7,24,,,,,,31,,2,,29,29,28,37,1,301,17.7
2,Philadelphia Eagles,17,9,22,,,1,,1,33,4,8,,22,25,25,32,,303,17.8
3,Denver Broncos,17,10,22,,,,,,32,3,5,,26,26,29,33,,311,18.3
4,Kansas City Chiefs,17,13,24,,,,,,37,1,2,,30,35,24,31,,326,19.2
5,Minnesota Vikings,17,12,24,,,1,,,37,4,6,,31,31,23,30,1,332,19.5
6,Green Bay Packers,17,13,23,1,,,2,,39,1,5,,33,34,23,27,,338,19.9
7,Detroit Lions,17,18,18,,,1,,,37,1,4,,32,33,28,35,1,342,20.1
8,Pittsburgh Steelers,17,14,23,,,,2,,39,2,7,,31,32,26,33,,347,20.4
9,Baltimore Ravens,17,12,27,,,,,,39,2,7,,32,32,29,33,2,361,21.2
10,Miami Dolphins,17,12,22,,,1,1,,36,3,5,,30,31,36,42,2,364,21.4
11,Buffalo Bills,17,13,28,,1,1,,1,44,2,3,,40,41,20,25,,368,21.6
12,Seattle Seahawks,17,11,26,,1,,1,1,40,2,5,,33,34,29,34,2,368,21.6
13,Chicago Bears,17,20,17,,,,,,37,,4,,32,32,38,43,1,370,21.8
14,Houston Texans,17,11,31,,,,,,42,2,5,,36,37,26,28,1,372,21.9
15,Arizona Cardinals,17,18,20,,,,1,1,40,1,1,,35,38,34,38,,379,22.3
16,Tampa Bay Buccaneers,17,13,27,1,,,,,41,,1,,38,38,33,44,,385,22.6
17,Los Angeles Rams,17,13,29,,,1,,,43,1,2,,36,40,30,33,,386,22.7
18,Washington Commanders,17,18,25,,2,,,,45,1,8,,35,37,28,35,,391,23.0
19,New Orleans Saints,17,20,19,,,3,1,,43,3,6,,35,37,33,42,,398,23.4
20,New York Jets,17,22,18,,,,2,,42,2,5,,32,36,38,42,1,404,23.8
21,New York Giants,17,18,23,1,,1,4,,47,1,2,,44,45,29,37,,415,24.4
22,New England Patriots,17,16,27,1,,2,1,,47,2,4,,41,43,30,35,,417,24.5
23,Atlanta Falcons,17,11,34,,,1,1,,47,3,3,,40,42,31,32,1,423,24.9
24,Indianapolis Colts,17,18,27,,1,1,1,,48,3,5,,43,43,30,38,,427,25.1
25,Cincinnati Bengals,17,20,30,,,2,1,,53,2,3,,46,49,22,26,,434,25.5
26,Las Vegas Raiders,17,14,29,,,2,1,,46,1,4,,40,42,38,43,1,434,25.5
27,Cleveland Browns,17,22,26,1,1,,3,,53,,1,,51,52,22,31,,435,25.6
28,Jacksonville Jaguars,17,19,29,,,,,,48,1,6,,41,42,34,40,1,435,25.6
29,San Francisco 49ers,17,24,25,,1,,,,50,2,6,,42,44,30,32,,436,25.6
30,Tennessee Titans,17,21,27,1,,1,4,1,55,1,2,,50,53,26,31,,460,27.1
31,Dallas Cowboys,17,25,28,,,1,1,,55,1,3,,49,52,29,31,,468,27.5
32,Carolina Panthers,17,24,35,,,,1,1,61,3,5,,54,56,36,42,,534,31.4
