Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills*,11,6,.647,451,311,140,8.2,-1.8,6.5,4.1,2.3
Miami Dolphins+,11,6,.647,496,391,105,6.2,-1.8,4.4,7.6,-3.1
New York Jets,7,10,.412,268,355,-87,-5.1,-0.6,-5.8,-6.7,0.9
New England Patriots,4,13,.235,236,366,-130,-7.6,-0.2,-7.9,-8.5,0.6
Baltimore Ravens*,13,4,.765,483,280,203,11.9,1.2,13.2,6.7,6.5
Cleveland Browns+,11,6,.647,396,362,34,2.0,1.3,3.3,2.4,0.9
Pittsburgh Steelers+,10,7,.588,304,324,-20,-1.2,1.9,0.7,-3.0,3.7
Cincinnati Bengals,9,8,.529,366,384,-18,-1.1,2.8,1.7,1.3,0.4
Houston Texans*,10,7,.588,377,353,24,1.4,-1.0,0.4,0.3,0.1
Jacksonville Jaguars,9,8,.529,377,371,6,0.4,1.1,1.4,1.3,0.1
Indianapolis Colts,9,8,.529,396,415,-19,-1.1,-0.2,-1.3,2.4,-3.8
Tennessee Titans,6,11,.353,305,367,-62,-3.6,0.4,-3.2,-4.0,0.7
Kansas City Chiefs*,11,6,.647,371,294,77,4.5,-0.8,3.7,-0.6,4.4
Las Vegas Raiders,8,9,.471,332,331,1,0.1,-0.9,-0.9,-2.4,1.6
Denver Broncos,8,9,.471,357,413,-56,-3.3,-0.5,-3.8,-0.8,-3.0
Los Angeles Chargers,5,12,.294,346,398,-52,-3.1,0.9,-2.2,-0.6,-1.6
