Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Dallas Cowboys*,12,5,.706,509,315,194,11.4,-2.2,9.2,6.5,2.7
Philadelphia Eagles+,11,6,.647,433,428,5,0.3,-0.4,-0.1,3.6,-3.7
New York Giants,6,11,.353,266,407,-141,-8.3,0.4,-7.9,-6.9,-1.0
Washington Commanders,4,13,.235,329,518,-189,-11.1,0.0,-11.1,-2.8,-8.4
Detroit Lions*,12,5,.706,461,395,66,3.9,0.4,4.3,6.0,-1.8
Green Bay Packers+,9,8,.529,383,350,33,1.9,-0.8,1.2,0.9,0.2
Minnesota Vikings,7,10,.412,344,362,-18,-1.1,0.5,-0.6,-1.6,1.0
Chicago Bears,7,10,.412,360,379,-19,-1.1,-0.9,-2.0,-1.2,-0.9
Tampa Bay Buccaneers*,9,8,.529,348,325,23,1.4,-0.3,1.1,-1.6,2.7
New Orleans Saints,9,8,.529,402,327,75,4.4,-2.2,2.2,1.7,0.5
Atlanta Falcons,7,10,.412,321,373,-52,-3.1,-1.9,-5.0,-3.6,-1.4
Carolina Panthers,2,15,.118,236,416,-180,-10.6,0.7,-9.9,-7.9,-2.0
San Francisco 49ers*,12,5,.706,491,298,193,11.4,0.4,11.8,7.1,4.7
Los Angeles Rams+,10,7,.588,404,377,27,1.6,1.4,3.0,2.0,1.0
Seattle Seahawks,9,8,.529,364,402,-38,-2.2,1.3,-1.0,-0.2,-0.8
Arizona Cardinals,4,13,.235,330,455,-125,-7.4,1.9,-5.4,-1.8,-3.7
