Week,Away,Away_spread,Home,Home_spread,actual,Vegas,pred,oneScore,predWinner,beatOdds
14,New England Patriots,+9.7,Pittsburgh Steelers,-9.7,3,-5.0,-9.7,False,False,False
14,Carolina Panthers,+9.9,New Orleans Saints,-9.9,-22,-5.0,-9.9,False,True,True
14,Indianapolis Colts,+5.3,Cincinnati Bengals,-5.3,-20,-3.0,-5.3,False,True,True
14,Detroit Lions,-11.3,Chicago Bears,11.3,-15,3.0,11.3,False,False,False
14,Houston Texans,-3.9,New York Jets,3.9,-24,3.0,3.9,False,False,False
14,Jacksonville Jaguars,-6.1,Cleveland Browns,6.1,-4,-2.0,6.1,False,False,False
14,Los Angeles Rams,+4.2,Baltimore Ravens,-4.2,-6,-7.5,-4.2,True,True,True
14,Tampa Bay Buccaneers,+7.3,Atlanta Falcons,-7.3,4,-1.5,-7.3,False,False,False
14,Minnesota Vikings,-1.9,Las Vegas Raiders,1.9,3,3.0,1.9,True,True,True
14,Seattle Seahawks,+5.2,San Francisco 49ers,-5.2,-12,-15.0,-5.2,True,True,True
14,Buffalo Bills,-4.5,Kansas City Chiefs,4.5,3,-2.0,4.5,True,True,True
14,Denver Broncos,+10.8,Los Angeles Chargers,-10.8,17,-3.0,-10.8,False,False,False
14,Philadelphia Eagles,+10.2,Dallas Cowboys,-10.2,20,-3.5,-10.2,False,False,False
14,Green Bay Packers,+9.6,New York Giants,-9.6,-2,5.5,-9.6,True,True,True
14,Tennessee Titans,+11.1,Miami Dolphins,-11.1,1,-13.5,-11.1,False,False,True
